tweets,label
".@TempleFencing had five fencers earn top-three finishes in the Penn State Open.
https://t.co/Vp8QL1TmAx",1
"Quincy Roche recorded 1.5 sacks despite @Temple_FB’s loss to @GoBearcatsFB. 
https://t.co/zEr8M9wb0D",0
".@Temple_FB will not play in the @American_Conf in December after losing to East Division leader @GoBearcatsFB.
https://t.co/gtp1nZv3rG",0
"Offensive and special teams miscues plagues @Temple_FB in a 15–13 loss to @GoBearcatsFB.
https://t.co/D4eYHAHePX",0
Japanese Ambassador Kanji Yamanouchi made a visit to @templeuniv Wednesday to discuss relations between the U.S. an… https://t.co/p6T0PkCZbT,1
".@TUMBBHoops used a strong second half to give @USC_Hoops its first loss of the year. 
https://t.co/GS3b49jRW4",1
"Here are some matchups to watch this weekend when @Temple_FB takes on @GoBearcatsFB.
https://t.co/gu3M0walum",1
"Temple Professor Margaret deGuzman, along with guest speaker @Amos_Guiora, discussed human rights abuses around the… https://t.co/NqRxi2FUqn",1
".@TempleUniv students comment on rejecting beauty standards with body hair positivity.
https://t.co/LNlnFM9IWC",1
".@templewbb used three consecutive 20-point quarters to win against @Bucknell_WBB.
https://t.co/oemlQfpHgC",1
"The event featured a short film about Tubman and an interview with Blockson.
https://t.co/J3xrZwJWM1",1
"A @Tylerschool student started a jewelry company called “
Idk earrings,” which she promotes on Instagram. 
https://t.co/dY0KeXOCR7",1
"ESSAY: A transfer student recounts how Snapchat memories help them see how much their life has changed in two years.
https://t.co/6TaEee2tYZ",1
"@RepKenyatta distributes food to seniors twice a month. Residents are grateful, but some wish the program took plac… https://t.co/1UFLJJNUdm",1
"Female @TempleUniv students comment on how the pink tax affects their essential purchases.
https://t.co/0zmrCShVIf",0
".@Nate_PL’s play on both sides of the court has led to a 3-0 start for @TUMBBHoops.
https://t.co/XCja48GFGh",1
OPINION: @meaghanburke61 argues that women need to be better represented on Temple’s Board of Trustees and standing… https://t.co/mRRpzrJwa5,0
Two developers near @TempleUniv are seeking residents’ support for new housing on 15th Street near Norris and Bouvi… https://t.co/mC93odAIhC,0
"@TU_Police have added more patrols off campus as a result of increased robberies.
https://t.co/86H3fk4kT0",0
".@Temple_FB will still play eight @American_Conf games and four non-conference games in the next two seasons.
https://t.co/vEm0qXQkPw",1
".@OwlsXCTnF finished in the top-10 in the NCAA Mid-Atlantic Regionals on Friday.
https://t.co/S8y3xxpScI",1
".@SusanCiufo and @TempleFH players reflect on an improved 2019 season.
https://t.co/QWxuqN7Q1D",1
"ESSAY: A student discusses how she shrugged off unachievable body hair standards.
https://t.co/cl6v2rLYNh",1
".@TempleFencing went 3-2 at the Elite Meet at Penn over the weekend.
https://t.co/0GfdvPtuPc",1
"EDITORIAL: @TempleUniv should expand its policies and initiatives for students experiencing housing insecurity.
https://t.co/620zxcV0wy",0
".@templewrugby advanced to the second round of the USA Rugby Division II National Tournament.
https://t.co/1PfVY6SwVp",1
"A @TULiberalarts student talks politics with @TUpolisci professors on a new podcast. 
https://t.co/12r5wZMmkK",1
OPINION: @tyler7perez argues that @TempleUniv needs to make a greater effort to promote pedestrian safety in areas… https://t.co/8SLDmGdQsy,0
".@francesscaa_ decided on the resolutions on Friday.
https://t.co/kSOvvugIAk",1
"A @TempleLaw professor says Purdue Pharma’s bankruptcy case needs a special examiner.
https://t.co/6LOY4iI2PD",0
"Temple students work and live through experiencing housing insecurity and homelessness.
https://t.co/Ue2kwGbVtw",0
"TODAY'S FRONT: Two students share their experiences with housing insecurity and homelessness, the student body pres… https://t.co/3O7xnYVYQj",0
".@TUOWLS_WBB lost their early @American_WBB matchup against @UConnWBB.
https://t.co/qyFtrukQHU",0
"A sweater and medicine were missing from the female student’s stolen handbag. 
https://t.co/b86IbpmLO3",0
".@TUOWLS_WBB was outscored 26-9 in the fourth quarter in a loss to @UConnWBB.
https://t.co/oN3SXXfkLM",0
".@nateweaverradio and his family competed on @FamilyFeud and the episode aired on Nov. 14.
https://t.co/2lzTO92KfD",1
".@TUMBBHoops dominated in the paint in its win against @LaSalle_MBB. @Nate_PL had 10 points from the paint.
https://t.co/d5BHlXic4x",1
".@TUMBBHoops almost blew a 21 point lead in a 70-65 win over @LaSalle_MBB.
https://t.co/cJTLBUZzNT",1
"Dana Westfield finished her @Temple_VB career with a 21-kill match as the Owls beat @usfvolleyball
https://t.co/ttuPUHdcx3",1
"Quincy Roche set a @American_FB record with six tackles for loss in @Temple_FB's 29-21 win over Tulane.
https://t.co/KqxQhyzSfS",1
